04/15/2022 Test Engineers: Grant Kirchhoff , Anton Buynovskiy
Comment: First test w/o sensing element installed. No heater. Test performed in STIg Lab.

Sensor:Au16
US / mV, Uref / mV, IS / nA, UH / mV, IH / mA, RH / Ohm

SensorNr.; US; Uref; IS; UH; IH; RH; Time (LabView); Comment; Measurement range; range_is_change?; temp_reg_on?; heatup?; uref_reg_on?
11.000000;0.000000;0.000000;0.000000;0.003662;0.274662;13.333309;1.422211E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422214E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.244144;19.499964;1.422217E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.274662;18.666632;1.422220E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422223E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422229E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422232E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.259403;16.941145;1.422236E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422239E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.289921;17.684178;1.422242E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.259403;18.352908;1.422245E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422248E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.305180;15.599971;1.422252E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.305180;14.399974;1.422255E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422258E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422261E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422264E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422268E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004028;0.274662;14.666640;1.422271E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422274E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422277E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422280E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422283E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422286E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422290E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.259403;18.352908;1.422293E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.305180;15.599971;1.422296E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422299E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422302E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.289921;17.684178;1.422305E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422308E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422312E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422315E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422318E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.305180;14.399974;1.422321E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004028;0.274662;14.666640;1.422324E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422327E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422330E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004028;0.259403;15.529383;1.422335E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422338E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004028;0.274662;14.666640;1.422341E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.305180;14.399974;1.422344E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422347E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
